id,name,country_id,property_product_pricelist,opportunity_ids,opportunity_count,credit,debit,debit_limit,total_invoiced,customer_rank,city_id,trust,team_id,company_type,credit_limit,category_id,sale_order_count
63,Aibox,"[48, 'China']","[1, 'Public Pricelist (PEN)']","[46, 45]",2,10500.0,10729.74,944505.0,10500.0,1,False,normal,False,company,192282.0,[],1
14,Azure Interior,"[233, 'United States']","[1, 'Public Pricelist (PEN)']","[22, 19]",9,40246.4,2151.26,612403.0,71996.40000000001,5,False,bad,False,company,267583.0,[5],6
69,Babbleblab,"[228, 'Tanzania']","[1, 'Public Pricelist (PEN)']","[58, 57, 56, 55, 54]",5,132300.0,12036.0,765534.0,132300.0,1,False,normal,False,company,66211.0,"[6, 5]",2
91,Babbleopia,"[49, 'Colombia']","[1, 'Public Pricelist (PEN)']","[60, 59]",2,26166.0,7552.0,875121.0,26166.0,1,False,good,False,company,504479.0,"[7, 6]",1
78,Centidel,"[178, 'Poland']","[1, 'Public Pricelist (PEN)']","[63, 62, 61]",3,151116.0,42480.0,260796.0,151116.0,1,False,bad,False,company,744914.0,[7],3
42,Comercial Constructora los Patitos S.A.,"[173, 'Peru']","[1, 'Public Pricelist (PEN)']",[64],1,69030.0,6372.0,202419.0,58500.0,1,False,good,False,company,338815.0,[],0
61,Dabfeed,"[178, 'Poland']","[1, 'Public Pricelist (PEN)']","[67, 66, 65]",3,56564.0,6608.0,251126.0,56564.0,1,False,good,False,company,560418.0,[6],1
62,Dabjam,"[165, 'Netherlands']","[1, 'Public Pricelist (PEN)']",[68],1,463344.0,113280.0,782445.0,463344.0,1,False,bad,False,company,950157.0,[],2
10,Deco Addict,"[233, 'United States']","[1, 'Public Pricelist (PEN)']","[27, 26, 14, 15]",14,119249.0,8457.06,385988.0,211999.0,9,False,normal,False,company,400917.0,[7],6
58,Eare,"[100, 'Indonesia']","[1, 'Public Pricelist (PEN)']","[81, 80, 79, 78]",4,95844.0,4956.0,900059.0,95844.0,1,False,normal,False,company,132818.0,[],3
68,Eidel,"[233, 'United States']","[1, 'Public Pricelist (PEN)']",[],0,0.0,0.0,149622.0,0.0,0,False,normal,False,company,909825.0,"[4, 7, 1]",0
74,Fatz,"[100, 'Indonesia']","[1, 'Public Pricelist (PEN)']",[],0,0.0,0.0,0.0,0.0,0,False,normal,False,company,0.0,[6],0
59,Fivespan,"[234, 'Uruguay']","[1, 'Public Pricelist (PEN)']",[],0,0.0,0.0,0.0,0.0,0,False,normal,False,company,0.0,[],0
50,Flashdog,"[146, 'Mongolia']","[1, 'Public Pricelist (PEN)']",[],0,0.0,0.0,0.0,0.0,0,False,normal,False,company,0.0,[],0
80,Gabtune,"[190, 'Russian Federation']","[1, 'Public Pricelist (PEN)']",[],0,0.0,0.0,0.0,0.0,0,False,normal,False,company,0.0,"[7, 5]",0
71,Gabtune,"[164, 'Nicaragua']","[1, 'Public Pricelist (PEN)']",[],0,0.0,0.0,0.0,0.0,0,False,normal,False,company,0.0,"[4, 3]",0
11,Gemini Furniture,"[233, 'United States']","[1, 'Public Pricelist (PEN)']",[20],4,113470.0,11678.460000000001,94903.0,113470.0,3,False,normal,False,company,336858.0,"[4, 7]",17
